X(m), Y(m), Z(m), Ex(Re), Ex(Im), Ey(Re), Ey(Im), Ez(Re), Ez(Im)
-2306.978433, -145.142780, 1912.271969, 0.000002, -0.000004, -0.000000, 0.000001, 0.000003, -0.000004
-2245.892690, -141.299591, 1983.935596, 0.000004, 0.000002, -0.000001, 0.000000, 0.000006, 0.000003
-2182.590523, -137.316957, 2053.641318, -0.000001, 0.000006, -0.000001, -0.000000, -0.000000, 0.000007
-2117.134402, -133.198806, 2121.320344, -0.000006, 0.000002, -0.000000, -0.000000, -0.000006, 0.000002
-2049.588926, -128.949205, 2186.905882, -0.000003, -0.000005, 0.000000, -0.000000, -0.000003, -0.000004
-1980.020752, -124.572347, 2250.333209, 0.000005, -0.000003, 0.000000, 0.000000, 0.000005, -0.000002
-1908.498537, -120.072550, 2311.539728, 0.000005, 0.000005, 0.000000, 0.000000, 0.000004, 0.000005
-1835.092865, -115.454257, 2370.465037, -0.000004, 0.000007, -0.000000, 0.000000, -0.000003, 0.000006
-1759.876177, -110.722024, 2427.050983, -0.000007, -0.000001, -0.000000, 0.000000, -0.000005, -0.000001
-1682.922704, -105.880522, 2481.241723, 0.000001, -0.000006, -0.000000, -0.000000, 0.000001, -0.000004
-1604.308390, -100.934529, 2532.983777, 0.000007, 0.000003, 0.000000, -0.000000, 0.000005, 0.000002
-1524.110816, -95.888925, 2582.226081, -0.000002, 0.000010, 0.000000, 0.000000, -0.000001, 0.000006
-1442.409130, -90.748690, 2628.920040, -0.000010, 0.000001, 0.000000, 0.000000, -0.000005, 0.000001
-1359.283960, -85.518898, 2673.019573, -0.000001, -0.000009, -0.000000, 0.000000, -0.000000, -0.000004
-1274.817340, -80.204709, 2714.481157, 0.000009, -0.000000, -0.000000, -0.000000, 0.000005, 0.000000
-1189.092630, -74.811367, 2753.263877, 0.000001, 0.000011, 0.000000, -0.000000, 0.000001, 0.000005
-1102.194429, -69.344196, 2789.329458, -0.000010, 0.000003, 0.000000, 0.000000, -0.000004, 0.000002
-1014.208495, -63.808590, 2822.642307, -0.000002, -0.000009, -0.000000, 0.000000, -0.000001, -0.000003
-925.221660, -58.210013, 2853.169549, 0.000010, -0.000001, -0.000000, 0.000000, 0.000003, 0.000000
-835.321742, -52.553989, 2880.881057, 0.000002, 0.000012, -0.000000, -0.000000, 0.000001, 0.000004
-744.597463, -46.846102, 2905.749483, -0.000011, 0.000003, -0.000000, 0.000000, -0.000003, 0.000001
-653.138357, -41.091982, 2927.750286, -0.000002, -0.000010, -0.000000, 0.000000, -0.000001, -0.000002
-561.034681, -35.297310, 2946.861752, 0.000010, -0.000000, -0.000000, 0.000000, 0.000002, 0.000000
-468.377332, -29.467804, 2963.065022, 0.000000, 0.000012, -0.000000, -0.000000, 0.000000, 0.000002
-375.257751, -23.609217, 2976.344104, -0.000012, 0.000001, -0.000000, 0.000000, -0.000001, 0.000001
-281.767836, -17.727330, 2986.685894, 0.000000, -0.000012, -0.000000, 0.000000, 0.000000, -0.000001
-187.999850, -11.827948, 2994.080185, 0.000014, 0.000001, -0.000000, 0.000000, 0.000001, 0.000000
-94.046331, -5.916894, 2998.519681, -0.000001, 0.000015, -0.000000, 0.000000, 0.000000, 0.000001
-0.000000, -0.000000, 3000.000000, -0.000015, -0.000000, -0.000000, 0.000000, 0.000000, 0.000000
-0.000000, -0.000000, -3000.000000, -0.000006, -0.000012, -0.000000, -0.000000, -0.000000, 0.000000
-93.489228, -11.810436, -2998.519681, -0.000012, 0.000007, -0.000000, -0.000000, 0.000000, 0.000000
